트위스티드 페이트,twistedfate
가렌,garen
갱플랭크,gangplank
그레이브즈,graves
나르,gnar
니달리,nidalee
다리우스,darius
드레이븐,draven
레오나,leona
렉사이,reksai
렝가,rengar
루시안,lucian
룰루,lulu
리산드라,lissandra
모데카이저,mordekaiser
모르가나,morgana
미스 포츈,missfortune
바루스,varus
베이가,veigar
베인,vayne
볼리베어,volibear
브라움,braum
브랜드,brand
블리츠크랭크,blitzcrank
뽀삐,poppy
세주아니,sejuani
쉔,shen
쉬바나,shyvana
스웨인,swain
아리,ahri
아우렐리온 솔,aurelionsol
아칼리,akali
아트록스,aatrox
애니비아,anivia
애쉬,ashe
야스오,yasuo
엘리스,elise
워윅,warwick
이블린,evelynn
제드,zed
초가스,chogath
카사딘,kassadin
카서스,karthus
카직스,khazix
카타리나,katarina
케넨,kennen
케일,kayle
킨드레드,kindred
트리스타나,tristana
파이크,pyke
피오라,fiora
